10.200.150.2  domain domain Unknown_TCP_Service Unknown_TCP_Service
10.200.150.6  Unknown_TCP_Service
10.200.150.201  http http Unknown_TCP_Service Unknown_TCP_Service
10.200.150.203  Unknown_TCP_Service
10.200.150.206  http http Unknown_TCP_Service Unknown_TCP_Service
10.200.150.207  http http Unknown_TCP_Service Unknown_TCP_Service
10.200.150.208  http http Unknown_TCP_Service Unknown_TCP_Service
10.200.150.209  http http Unknown_TCP_Service Unknown_TCP_Service
10.200.150.255  Unknown_TCP_Service
172.20.1.5  http http Unknown_TCP_Service Unknown_TCP_Service
192.168.1.1  https https shell Unknown_TCP_Service Unknown_TCP_Service
192.168.1.2  domain domain epmap epmap kerberos kerberos ldap ldap microsoft-ds microsoft-ds netbios-ssn netbios-ssn Unknown_TCP_Service Unknown_TCP_Service
192.168.1.4  Unknown_TCP_Service
192.168.1.5  Unknown_TCP_Service
192.168.1.6  epmap epmap Unknown_TCP_Service Unknown_TCP_Service
192.168.1.8  https https Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.1.9  https https Unknown_TCP_Port Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.1.10  https https ldap ldap microsoft-ds microsoft-ds Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.1.11  https https Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.1.12  https https Unknown_TCP_Port Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.1.13  https https Unknown_TCP_Port Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service
192.168.1.14  domain domain epmap epmap kerberos kerberos ldap ldap microsoft-ds microsoft-ds netbios-ssn netbios-ssn Unknown_TCP_Service Unknown_TCP_Service
192.168.1.50  shell
192.168.1.255  Unknown_TCP_Service
192.168.2.11  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos kerberos-adm klogin kpasswd kshell ldap ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.12  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.13  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.14  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.15  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.16  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.17  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.18  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.19  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.20  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.21  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.22  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.23  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.24  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service whois
192.168.2.25  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
